epoch,mark,Measured Torque (R),Desired Torque (R),Measured Torque (L),Desired Torque (L),Gait/100 (R),Toe FSR (R),Gait/100 (L),Toe FSR (L),Heel FSBattery Level (Volts),???
1784017719.547223,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.070000,0.000000,0.250000
1784017719.547822,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.440000,0.090000,0.000000
1784017719.554804,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,8.090000,0.000000,0.750000
1784017719.556698,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000
1784017719.578669,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,8.180000,0.000000,0.000000
1784017719.610361,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,8.280000,0.000000,0.000000
1784017719.612326,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.800000,0.000000,0.000000
1784017719.613801,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.000000
1784017719.638913,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.400000,0.000000,0.000000
1784017719.653809,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,6.090000,0.000000,0.000000
1784017719.654513,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.400000,0.000000,0.000000
1784017719.698879,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,5.690000,0.000000,0.000000
1784017719.701791,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.900000,0.000000,0.000000
1784017719.715585,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.570000,0.000000,0.000000
1784017719.739152,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,4.070000,0.000000,0.000000
1784017719.740123,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.890000,0.000000,0.750000
1784017719.743649,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.430000,0.000000,0.000000
1784017719.759180,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.160000,0.030000,0.250000
1784017719.823678,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.950000,0.000000,0.000000
1784017719.832715,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.950000,0.000000,0.000000
1784017719.834955,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.040000,0.000000,0.000000
1784017719.835590,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.900000,0.000000,0.000000
1784017719.847660,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.650000,0.000000,0.000000
1784017719.865406,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.590000,0.000000,0.000000
1784017719.867249,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.540000,0.000000,0.000000
1784017719.892705,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.170000,0.000000,0.000000
1784017719.915214,0,0.000000,3.000000,0.000000,3.000000,0.000000,0.000000,0.000000,2.300000,0.000000,0.000000
